Ticker,month,first,last,monthly_return,rank
TATASTEEL,2023-10,128.0,118.75,-0.072265625,1
TECHM,2023-10,1216.2,1133.15,-0.06828646604176941,2
SBIN,2023-10,602.95,565.55,-0.06202836056057731,3
BAJFINANCE,2023-10,7967.6,7492.65,-0.05961017119333309,4
APOLLOHOSP,2023-10,5118.95,4819.9,-0.05842018382676138,5
BAJFINANCE,2023-11,7471.9,7121.9,-0.04684216865857413,1
SBIN,2023-11,566.4,564.75,-0.002913135593220299,2
CIPLA,2023-11,1201.25,1212.3,0.00919875130072837,3
NESTLEIND,2023-11,2387.27,2423.61,0.015222408860330062,4
ITC,2023-11,428.1,435.8,0.017986451763606606,5
HDFCLIFE,2023-12,682.15,646.7,-0.0519680422194531,1
MARUTI,2023-12,10585.7,10302.3,-0.026771965954070248,2
AXISBANK,2023-12,1104.65,1102.3,-0.0021273706603902923,3
BAJAJFINSV,2023-12,1685.95,1685.8,-8.897061004187012e-05,4
SBILIFE,2023-12,1423.65,1432.6,0.006286657535208666,5
HDFCBANK,2024-01,1698.1,1462.55,-0.13871385666332958,1
ASIANPAINT,2024-01,3396.1,2957.85,-0.12904508112246402,2
HDFCLIFE,2024-01,648.7,576.6,-0.11114536765839374,3
NESTLEIND,2024-01,2737.24,2506.0,-0.08447925647732746,4
JSWSTEEL,2024-01,877.6,818.65,-0.06717183226982686,5
HINDALCO,2024-02,571.25,503.85,-0.11798687089715532,1
ITC,2024-02,442.9,406.3,-0.08263716414540521,2
KOTAKBANK,2024-02,1822.75,1689.45,-0.07313125771499106,3
INDUSINDBK,2024-02,1541.15,1474.9,-0.04298737955422898,4
HDFCBANK,2024-02,1466.35,1403.4,-0.042929723463020306,5
INFY,2024-03,1654.7,1498.05,-0.0946697286517194,1
TATACONSUM,2024-03,1186.26,1082.74,-0.08726586077251192,2
WIPRO,2024-03,519.1,480.1,-0.07513003274898863,3
HCLTECH,2024-03,1644.1,1543.55,-0.06115808040873424,4
HINDUNILVR,2024-03,2409.7,2264.35,-0.06031871187284721,5
HCLTECH,2024-04,1556.7,1366.6,-0.12211729941543016,1
KOTAKBANK,2024-04,1790.7,1623.95,-0.09312000893505333,2
HDFCLIFE,2024-04,634.75,583.65,-0.08050413548641201,3
APOLLOHOSP,2024-04,6457.25,5947.1,-0.07900422006272015,4
SUNPHARMA,2024-04,1629.25,1502.1,-0.07804204388522332,5
TATAMOTORS,2024-05,1027.8,923.0,-0.10196536291107215,1
TITAN,2024-05,3568.45,3241.9,-0.09151031960655179,2
SHRIRAMFIN,2024-05,2582.1,2354.05,-0.0883195848340497,3
DRREDDY,2024-05,1257.5,1158.37,-0.07883101391650107,4
ONGC,2024-05,282.8,264.35,-0.0652404526166902,5
ADANIENT,2024-06,3645.25,3177.15,-0.12841368904739042,1
LT,2024-06,3897.15,3548.45,-0.08947564245666711,2
BPCL,2024-06,333.08,303.95,-0.08745646691485529,3
COALINDIA,2024-06,512.35,473.15,-0.07651019810676304,4
ADANIPORTS,2024-06,1583.95,1478.1,-0.06682660437513818,5
AXISBANK,2024-07,1261.9,1166.1,-0.07591726761233075,1
BAJFINANCE,2024-07,7276.75,6806.95,-0.06456178926031542,2
HDFCBANK,2024-07,1705.2,1615.75,-0.052457189772460736,3
TATASTEEL,2024-07,174.07,165.33,-0.050209685758602754,4
NESTLEIND,2024-07,2568.1,2456.35,-0.043514660644055916,5
MARUTI,2024-08,13359.05,12403.0,-0.07156571762213626,1
ADANIPORTS,2024-08,1590.15,1481.9,-0.06807533880451529,2
POWERGRID,2024-08,361.1,337.4,-0.06563278870119092,3
TATASTEEL,2024-08,163.06,152.76,-0.0631669324175151,4
ADANIENT,2024-08,3217.25,3019.35,-0.061512161007071284,5
TATAMOTORS,2024-09,1092.65,974.65,-0.10799432572186894,1
ONGC,2024-09,326.2,297.6,-0.08767627222562835,2
TCS,2024-09,4521.05,4268.5,-0.055860917264794724,3
INFY,2024-09,1964.5,1875.6,-0.045253245100534537,4
TECHM,2024-09,1646.65,1577.2,-0.042176540248383104,5
INDUSINDBK,2024-10,1409.7,1055.6,-0.2511881960700859,1
BAJAJ-AUTO,2024-10,12157.45,9836.3,-0.1909240835866075,2
NESTLEIND,2024-10,2707.05,2262.95,-0.16405312055558646,3
TATACONSUM,2024-10,1196.25,1002.55,-0.16192267502612334,4
MARUTI,2024-10,13166.0,11076.45,-0.15870803584991638,5
ADANIENT,2024-11,2949.5,2228.0,-0.24461773181895236,1
ADANIPORTS,2024-11,1394.4,1136.75,-0.18477481353987382,2
ASIANPAINT,2024-11,2939.85,2472.2,-0.15907274180655478,3
BRITANNIA,2024-11,5693.05,4848.35,-0.14837389448538127,4
NTPC,2024-11,411.35,365.45,-0.11158380940804676,5
